,Titulo,action,adventure,mistery,comedy,family,sciFi,fantasy,animation,horror,thriller,drama,biography,music,western,war,crime,romance,sport,musical
286,Keeping Up with the Joneses,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Jupiter Ascending,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Masterminds,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
289,Iris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
290,Busanhaeng,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
291,Pitch Perfect,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
292,Neighbors 2: Sorority Rising,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,The Exception,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
294,Man of Steel,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
295,The Choice,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
296,Ice Age: Collision Course,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
297,The Devil Wears Prada,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
298,The Infiltrator,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
299,There Will Be Blood,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
300,The Equalizer,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
301,Lone Survivor,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
302,The Cabin in the Woods,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
303,The House Bunny,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
304,She's Out of My League,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
305,Inherent Vice,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
306,Alice Through the Looking Glass,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
307,Vincent N Roxxy,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
308,The Fast and the Furious: Tokyo Drift,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
309,How to Be Single,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
310,The Blind Side,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
311,La vie d'Adèle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
312,The Babadook,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
313,The Hobbit: The Battle of the Five Armies,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
314,Harry Potter and the Order of the Phoenix,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
315,Snowpiercer,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
316,The 5th Wave,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
317,The Stakelander,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
318,The Visit,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
319,Fast Five,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
320,Step Up,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
321,Lovesong,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
322,RocknRolla,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
323,In Time,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
324,The Social Network,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
325,The Last Witch Hunter,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
326,Victor Frankenstein,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
327,A Street Cat Named Bob,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
328,Green Room,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
329,Blackhat,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
330,Storks,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
331,American Sniper,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
332,Dallas Buyers Club,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
333,Lincoln,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
334,Rush,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
335,Before I Wake,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
336,Silver Linings Playbook,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
337,Tracktown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
338,The Fault in Our Stars,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
339,Blended,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
340,Fast & Furious,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
341,Looper,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
342,White House Down,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
343,Pete's Dragon,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
344,Spider-Man 3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,The Three Musketeers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
346,Stardust,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
347,American Hustle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
348,Jennifer's Body,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
349,Midnight in Paris,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
350,Lady Macbeth,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
351,Joy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
352,The Dressmaker,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
353,Café Society,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
354,Insurgent,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
355,Seventh Son,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
356,Demain tout commence,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
357,The Theory of Everything,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
358,This Is the End,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
359,About Time,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
360,Step Brothers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,Clown,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
362,Star Trek Into Darkness,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
363,Zombieland,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
364,"Hail, Caesar!",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,Slumdog Millionaire,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
366,The Twilight Saga: Breaking Dawn - Part 2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
367,American Wrestler: The Wizard,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
368,The Amazing Spider-Man,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,Ben-Hur,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
370,Sleight,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
371,The Maze Runner,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Criminal,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
373,Wanted,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
374,Florence Foster Jenkins,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
375,Collide,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
376,Black Mass,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
377,Creed,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
378,Swiss Army Man,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
379,The Expendables 3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380,What We Do in the Shadows,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
381,Southpaw,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
382,Hush,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
383,Bridge of Spies,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
384,The Lego Movie,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
385,Everest,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
386,Pixels,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,Robin Hood,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
388,The Wolverine,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
389,John Carter,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Keanu,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,The Gunman,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
392,Steve Jobs,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
393,Whisky Galore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
394,Grown Ups 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,The Age of Adaline,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
396,The Incredible Hulk,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
397,Couples Retreat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Absolutely Anything,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
399,Magic Mike,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
400,Minions,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
401,The Black Room,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
402,Bronson,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
403,Despicable Me,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
404,The Best of Me,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
405,The Invitation,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
406,Zero Dark Thirty,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
407,Tangled,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
408,The Hunger Games: Mockingjay - Part 2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
409,Vacation,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Taken,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
411,Pitch Perfect 2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
412,Monsters University,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
413,Elle,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
414,Mechanic: Resurrection,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
415,Tusk,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
416,The Headhunter's Calling,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
417,Atonement,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
418,Harry Potter and the Deathly Hallows: Part 1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
419,Shame,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
420,Hanna,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
421,The Babysitters,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
422,Pride and Prejudice and Zombies,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
423,300: Rise of an Empire,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
424,London Has Fallen,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
425,The Curious Case of Benjamin Button,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
426,Sin City: A Dame to Kill For,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
427,The Bourne Ultimatum,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
428,Srpski film,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
429,The Purge: Election Year,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
430,3 Idiots,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
431,Zoolander 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,World War Z,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
433,Mission: Impossible - Ghost Protocol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
434,Let Me Make You a Martyr,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
435,Filth,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
436,The Longest Ride,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
437,The imposible,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
438,Kick-Ass 2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
439,Folk Hero & Funny Guy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,Oz the Great and Powerful,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
441,Brooklyn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
442,Coraline,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
443,Blue Valentine,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
444,The Thinning,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
445,Silent Hill,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
446,Dredd,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Hunt for the Wilderpeople,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
448,Big Hero 6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
449,Carrie,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
450,Iron Man 2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
451,Demolition,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
452,Pandorum,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
453,Olympus Has Fallen,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
454,I Am Number Four,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Jagten,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
456,The Proposal,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
457,Get Hard,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
458,Just Go with It,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
459,Revolutionary Road,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
460,The Town,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
461,The Boy,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
462,Denial,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
463,Predestination,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
464,Goosebumps,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Sherlock Holmes: A Game of Shadows,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
466,Salt,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
467,Enemy,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
468,District 9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
469,The Other Guys,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
470,American Gangster,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
471,Marie Antoinette,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
472,2012,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Harry Potter and the Half-Blood Prince,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
474,Argo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
475,Eddie the Eagle,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
476,The Lives of Others,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
477,Pet,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
478,Paint It Black,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
479,Macbeth,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
480,Forgetting Sarah Marshall,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
481,The Giver,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
482,Triple 9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
483,Perfetti sconosciuti,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
484,Angry Birds,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
485,Moonrise Kingdom,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
486,Hairspray,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
487,Safe Haven,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
488,Focus,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
489,Ratatouille,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
490,Stake Land,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
491,The Book of Eli,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
492,Cloverfield,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
493,Point Break,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
494,Under the Skin,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
495,I Am Legend,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
496,Men in Black 3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,Super 8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
498,Law Abiding Citizen,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
499,Up,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500,Maze Runner: The Scorch Trials,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
501,Carol,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
502,Imperium,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
503,Youth,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
504,Mr. Nobody,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
505,City of Tiny Lights,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
506,Savages,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
507,(500) Days of Summer,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
508,Movie 43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
509,Gravity,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
510,The Boy in the Striped Pyjamas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
511,Shooter,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
512,The Happening,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
513,Bone Tomahawk,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
514,Magic Mike XXL,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
515,Easy A,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
516,Exodus: Gods and Kings,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
517,Chappie,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
518,The Hobbit: The Desolation of Smaug,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
519,Half of a Yellow Sun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
520,Anthropoid,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
521,The Counselor,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
522,Viking,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
523,Whiskey Tango Foxtrot,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
524,Trust,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
525,Birth of the Dragon,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
526,Elysium,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
527,The Green Inferno,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
528,Godzilla,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
529,The Bourne Legacy,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,A Good Year,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
531,Friend Request,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
532,Deja Vu,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
533,Lucy,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
534,A Quiet Passion,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
535,Need for Speed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
536,Jack Reacher,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
537,The Do-Over,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,True Crimes,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
539,American Pastoral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
540,The Ghost Writer,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
541,Limitless,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
542,Spectral,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
543,P.S. I Love You,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
544,Zipper,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
545,Midnight Special,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
546,Don't Think Twice,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
547,Alice in Wonderland,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
548,Chuck,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
549,"I, Daniel Blake",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
550,The Break-Up,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
551,Loving,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
552,Fantastic Four,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
553,The Survivalist,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
554,Colonia,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
555,The Boy Next Door,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
556,The Gift,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
557,Dracula Untold,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
558,In the Heart of the Sea,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
559,Idiocracy,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
560,The Expendables,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
561,Evil Dead,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
562,Sinister,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
563,Wreck-It Ralph,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
564,Snow White and the Huntsman,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
565,Pan,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
566,Transformers: Dark of the Moon,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
567,Juno,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
568,A Hologram for the King,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
569,Money Monster,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
570,The Other Woman,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
571,Enchanted,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
572,The Intern,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
573,Little Miss Sunshine,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
574,Bleed for This,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
575,Clash of the Titans,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
